Наименование,ИНН,WhatsApp,Телефон (офис),Телефон (мобильный),Сайт,VK,Email,Адрес
ХИМИК-ЮЖНЫЙ УРАЛ ТД,0,,83517754880,,,,,454007  Челябинск  Артиллерийская улица  дом 111
СЕЛЬХОЗХИМИЯ,0,,83512608708,,,,,454048  Челябинск  улица Сони Кривой  дом 73  офис 410
ПЛОДОРОДИЕ,0,,83517293580,,,,,454048  Челябинск  улица Сони Кривой  дом 73  офис 307
АГРОПРОМКАЛИЙ,0,,83512615943,, ,,,454048  Челябинск  улица Доватора  дом 34-а
ОРГАНИКА НПО,0,,83517965000,, ,,,454106  Челябинск  улица Вострецова  дом 3
СапроГрунт,0,,83517965000,, ,,,454106  Челябинск  улица Вострецова  дом 3
Антей,0,,83514522173,,,,,456560  Челябинская область  Еткульский район  село Еткуль  Молодёжная улица  дом 27
Плодородие магазин,0,,83512700705,,vk.com/plodorodie74,http://vk.com/plodorodie74,,Челябинск  Комсомольский проспект  дом 47
Сады России,0,https://wa.me/79512583464,,79512583464,,,,Челябинск  шоссе Металлургов  дом 70/1
Агро Технологии,0,https://wa.me/79222392717,,79222392717,,,,Челябинск  улица Братьев Кашириных  дом 54
СИСТЕМА промышленная группа,0,,88005513709,,ttksistema.ru,,,454081  Челябинск  улица Северный луч  дом 1-а
ИП КРАСНОВ,0,,83517777080,,porilex.tiu.ru,,,454091  Челябинск  улица Елькина  дом 63-в  склад 20
УПАКОВКА торговая фирма,0,,83512481565,, ,,,454128  Челябинск  улица 40 лет Победы  дом 40  1 этаж
РУССЦЕНТРПАК производственная компания,0,,83512476767,,,,,454080  Челябинск  Свердловский проспект  дом 84-Б
ЧЕЛНИНСКИЙ КАРТОН представительство в г. Челябинске,0,,83512187205,, ,,,454048  Челябинск  улица Блюхера  дом 9-в
БРЕНДПАК компания,0,,83517508036,,www.chel-lenta.ru,,,454008  Челябинск  Свердловский тракт  дом 5/14
ХОЗТОРГУПАКОВКА магазин,0,,83512310076,, ,http://vk.com/club170966609,,454017  Челябинск  улица Богдана Хмельницкого  дом 17
SVILKI магазин для кондитеров,0,https://wa.me/79080627754,,79080627754,Svilki.ru,,,454128  Челябинск  улица Братьев Кашириных  дом 131
АКРОНА торгово-производственная компания,0,https://wa.me/79517913371,,79517913371,,,,454010  Челябинск  Енисейская улица  дом 52/3
ВТОР ПЛАСТ СЫРЬЕ,0,,83512409868,,vplastsyr.ru,,,454079  Челябинск  Линейная улица  дом 82
САМОВАР-КЛУБ магазин,0,,83517514170,,samogon-chelyabinsk.ru,,,454007  Челябинск  Артиллерийская улица  дом 117
DISIDI студия по изготовлению лофт-светильников и деревянных люстр,0,https://wa.me/79080684977,,79080684977,vk.com/public_disidi,http://vk.com/public_disidi,,454028  Челябинск  улица Толбухина  дом 7
КОЛБА федеральная сеть магазинов,0,,83512588081,, ,http://vk.com/kolbachel,,454084  Челябинск  проспект Победы  дом 175
МИР КОНДИТЕРА,0,https://wa.me/79080560608,,79080560608, ,,,454071  Челябинск  улица Ковалевской  дом 8-а
САМОВАРИУМ магазин,0,https://wa.me/79323060056,,79323060056,xn--80aafzrdksd1a.xn--p1ai,http://vk.com/samovarium,,454080  Челябинск  улица Энгельса  дом 46
YES-UPAK торгово-производственная фирма,0,,83512149823,,yes-upak.ru,,,454138  Челябинск  Волховская улица  дом 7
ЕВРОТАРА74,0,,83517770646,, ,,,454053  Челябинск  Троицкий тракт  дом 20-а
ЮНИТЕК,0,,83512657482,, ,,,454091  Челябинск  проспект Ленина  дом 21-б  офис 100
СоюзПолиПак,0,,83517972364,,www.upp74.ru,,,454106  Челябинск  улица Косарева  дом 52-в
АССОРТИ-Ф,0,,83517720893,, ,,,454074  Челябинск  Сормовская улица  дом 15
СТАНДАРТ ПЛЮС ПК,0,,83512544265,,www.standart-plus.ru,,,454139  Челябинск  Бугурусланский переулок  дом 1
ИП КУЧИН,0,,83512300263,,agroresurs2000.narod.ru,,,454038  Челябинск  улица Монтажников  дом 1-а
ЧЕЛЯБТОРГТЕХНИКА,0,,83517750010,, ,,,454091  Челябинск  проспект Ленина  дом 2-в
ПИЩЕВОЕ ОБОРУДОВАНИЕ,0,,83517711118,, ,,,454074  Челябинск  1-я Арзамасская улица  дом 25  офис 101
ЧЕЛПРОГРЕСС торговая фирма,0,https://wa.me/79026057658,,79026057658, ,,,454106  Челябинск  Краснознамённая улица  дом 12  цокольный этаж
АГРОРЕСУРС инжиниринговая компания,0,,88005555905,, ,,,454036  Челябинск  Свердловский тракт  дом 12  1 этаж
Алькор,0,,83517760466,, ,,,Челябинск  Российская улица  дом 218-б
ИнтелПак,0,https://wa.me/79193328777,,79193328777,,,,Челябинск  улица Молодогвардейцев  дом 7/3
ФК ОТКРЫТИЕ торговая компания,0,https://wa.me/79080854425,,79080854425, ,,,454081  Челябинск  1-й Участок ЧЭМК  дом 7
ПЛИТ МДФ ГРУПП группа компаний,0,,83512112806,,pmg-74.ru,,,454053  Челябинск  Троицкий тракт  дом 54
КОМПЛИТ торговая компания,0,https://wa.me/79227503268,,79227503268,komplit74.ru,,,454010  Челябинск  Енисейская улица  дом 54  а
МАГАЗИН ПИЛОМАТЕРИАЛОВ,0,,83512302524,,,,,454139  Челябинск  Чистопольская улица  дом 46  ст2
ОТДЕЛСТРОЙ,0,https://wa.me/79191274458,,79191274458,,,,457400  Челябинская область  Агаповский район  село Агаповка  Школьная улица  дом 1/1
СТРОИТЕЛЬНЫЙ ДВОР компания,0,,83512174002,,sdvor74.ru,,,454053  Челябинск  Троицкий тракт  дом 21-а
БРАСТ ФАНЕРА СЕРВИС,0,,83512209222,, ,,,454036  Челябинск  Радонежская улица  дом 6  а ст1
УРАЛПЛИТ компания-поставщик материалов и фурнитуры для мебели,0,,83512408409,,chlb.uralplit.ru,http://vk.com/uralplit.mebel,,454082  Челябинск  Троицкий тракт  дом 74  в ст1
УРАЛМЕБЕЛЬКОМПЛЕКТ,0,,83512103706,, ,,,454000  Челябинск  Ударная улица  дом 7-а  офис 105
АГРЕГАТ,0,,83512539503,,,,,454012  Челябинск  Копейское шоссе  дом 3
АГРЕГАТ,0,,83512614626,,,,,454091  Челябинск  улица Газизуллина  дом 2-а
ДОМ ФАНЕРЫ компания,0,https://wa.me/79191274591,,79191274591, ,,,454008  Челябинск  Свердловский проспект  дом 32  М-34 бокс
МАГАЗИН ОТДЕЛОЧНЫХ МАТЕРИАЛОВ,0,https://wa.me/79090681529,,79090681529,,,,454085  Челябинск  Моховая улица  дом 7  А6 бокс  1 этаж
КОМПЛЕКСНОЕ СНАБЖЕНИЕ торговая компания,0,https://wa.me/79512581888,,79512581888, ,,,454012  Челябинск  Копейское шоссе  дом 9-п
ПРИНЦИП-ЧЕЛЯБИНСК торговая фирма,0,,83512468731,, ,,,454010  Челябинск  Енисейская улица  дом 31
РЕГИОНКОМПЛЕКТ оптовая фирма,0,,83517502789,, ,,,454006  Челябинск  Российская улица  дом 63
МАСТЕРОК магазин стройматериалов,0,,83512204321,, ,,,454008  Челябинск  Свердловский тракт  дом 5
ФЕРМЕРСКОЕ МЯСО магазин,0,https://wa.me/79127969062,,79127969062,,,,454085  Челябинск  улица 1 Пятилетки  дом 17/6  1з бокс
VILLA МАРКЕТ союз фермерских хозяйств,0,,83517002000,,софхоз.рф,,,454902  Челябинск  Центральная улица  дом 1-а/1
ЧЕЛЯБТЕХСТРОМ ИПП,0,,83517723275,, ,,,454085  Челябинск  улица Танкистов  дом 189-б
АЛГОР 74,0,,83512676342,, ,http://vk.com/artstek,,454053  Челябинск  Троицкий тракт  дом 9
WATERMAN,0,,83517512222,, ,,,454053  Челябинск  Троицкий тракт  дом 33
ЧИСТЫЙ СТОК торгово-монтажная фирма,0,,83517775436,,www.chististok.ru,,,454085  Челябинск  улица Героев Танкограда  дом 118  237 офис  10 этаж
ИОНИЗАТОРЫ ВОДЫ интернет-магазин,0,,83512704161,,vk.com/waterionizers,http://vk.com/waterionizers,,454091  Челябинск  улица Кирова  дом 167  офис 12
УРАЛТЕХНОХИМ ТПК,0,,83517273540,,www.uth74.ru,,,454106  Челябинск  Двинская улица  дом 23
ЛЕСМАШСЕРВИС,0,,83517702752,,,,,454053  Челябинск  Троицкий тракт  дом 13
АКВА,0,,83512810284,, ,,,454053  Челябинск  Троицкий тракт  дом 9
ЭКОТЕХНОЛОГИИ,0,,83512309500,,,,,454074  Челябинск  Сормовская улица  дом 17
ЭКОСИСТЕМЫ,0,,83517775714,,filtranet.ru,http://vk.com/aquariuscristall,,454021  Челябинск  Комсомольский проспект  дом 122
АКВАКИТ,0,,83512670440,,,,,454084  Челябинск  Каслинская улица  дом 64  Торговый центр
ТЕПЛОМИР торгово-монтажная компания,0,,83512670440,,,,,
ИСТОК,0,,83517775255,,урал-бур.рф,,,454048  Челябинск  Ильменская улица  дом 2
ПЕРСПЕКТИВА XXI торговая компания,0,,83512203455,, ,,,454106  Челябинск  проспект Победы  дом 238  13 офис  1 этаж
АКВАЛАЙФ торговая фирма,0,,83517500870,, ,,,454091  Челябинск  улица Плеханова  дом 19  вход с торца
ТОРГОВАЯ ФИРМА,0,https://wa.me/79068949814,,79068949814,,,,454138  Челябинск  Комсомольский проспект  дом 28-д  312 офис  3 этаж
МАГАЗИН ЧАСОВ И ФИЛЬТРОВ ДЛЯ ВОДЫ,0,https://wa.me/79026161036,,79026161036,,,,454048  Челябинск  улица Воровского  дом 85  1 этаж
ТАБЛИЦА МЕНДЕЛЕЕВА ООО,0,,83512827704,, ,,,454052  Челябинск  шоссе Металлургов  дом 70-б  офис 12
УралЛесЭнерго,0,,83512311189,,www.himline.pul.ru,,,454087  Челябинск  улица Дарвина  дом 4-а
АЛЬЯНС-ЭНЕРГИЯ,0,,83512810505,,a-energy.biz,,,454000  Челябинск  улица Академика Макеева  дом 13
ХИМЛАЙН,0,,83512311189,,www.himline.pul.ru,,,454087  Челябинск  улица Блюхера  дом 69-в
УралФос,0,,83512478025,,chemtr.ru,,,Челябинск  Телеграфная улица  дом 46
Индига,0,https://wa.me/79117366388,,79117366388,kron.indiga.spb.ru,,,Челябинская область  Сосновский район  село Кременкуль  улица Гагарина  дом 57
КМ,0,,83512114715,, ,,,Челябинск  улица Калинина  дом 5  корпус Б
Нейрон торговый дом,0,,83512110804,, ,,,Челябинск  улица Елькина  дом 92-а
Сырьевая компания Барус,0,,83517298890,,skbarus.ru,,,Челябинск  Пионерская улица  дом 7-б
Промснабкомплект,0,,83517512527,,psk-chim.ru,,,Челябинск  проспект Ленина  дом 26-а
ИНТЕР-КОМ,0,,83517958874,,,,,454021  Челябинск  улица 250 лет Челябинску  дом 1
КемИнС,0,https://wa.me/79262221863,,79262221863,cesolutions.ru,,,Челябинск  Салютная улица  дом 27
Химкорпорация,0,,83512238988,,,,,Челябинск  Университетская набережная  дом 76
УНИВЕРХИМ,0,,83517254481,, ,,,454038  Челябинск  улица Монтажников  дом 12  офис 30
Восток АгроХим,0,,83517500920,,vostok-agrohim.tiu.ru,,,454006  Челябинск  Российская улица  дом 35-а  офис 21
НОВЭРА торговая компания,0,,83512234733,, ,,,Челябинск  проспект Ленина  дом 4-в/2
ЕВРОСИНТЕЗ торговая компания,0,,83519397757,, ,,,457415  Челябинская область  Агаповский район  поселок Желтинский  Степная улица  дом 1  а
ЛАБСТАНДАРТ торговая фирма,0,,83512702979,,,,,454106  Челябинск  проспект Победы  дом 238
ПКФ ИНТЕРМЕДХИМ,0,,83517503868,,,,,454085  Челябинск  улица Кулибина  дом 5
МАСТЕР ППУ,0,,83517505500,,chelyabinsk.master-ppu.com,,,454074  Челябинск  улица Изобретателей  дом 57
TELAKKA,0,,88003509849,,chelyabinsk.telakka.ru,,,454081  Челябинск  улица Северный луч  дом 1  а
ПРОМОБЕСПЕЧЕНИЕ,0,,83512155516,, ,,,454053  Челябинск  Троицкий тракт  дом 21  з/2
ОКСИХИМ торговый дом,0,,83513267000,,,,,454128  Челябинск  улица Братьев Кашириных  дом 120
ПРОМОПТ компания по оптовой продаже химических реактивов и индикаторов,0,https://wa.me/79227178959,,79227178959, ,,,454091  Челябинск  Красная улица  дом 4
ЛАБОРАТОРНАЯ ПОСУДА И ОБОРУДОВАНИЕ,0,,83517755546,, ,,,454007  Челябинск  улица 40 лет Октября  дом 29-а
РЕГТАЙМ ООО,0,,83512644712,,,,,454006  Челябинск  Пермская улица  дом 57
ЧЕЛАК,0,,83512230528,, ,,,454045  Челябинск  Физкультурная улица  дом 34  офис 127
ЧЕЛЯБМЕТАЛЛКОКС,0,,83517299298,,www.chzti.ru,,,454010  Челябинск  Копейское шоссе  дом 52
ЧЕЛЯБМЕТАЛЛКОКС,0,,83517299298,,,,,Челябинск
БАЗИС ООО,0,,83512101916,, ,,,454014  Челябинск  Солнечная улица  дом 7  офис 315
AMPLUS торговая компания,0,,83512148148,,amplus.pro,,,454084  Челябинск  Кожзаводская улица  дом 100
ХИТ группа компаний,0,,83512003578,, ,,,454084  Челябинск  Каслинская улица  дом 97-в
ТорПроф,0,,83512479715,, ,,,454085  Челябинск  улица Марченко  дом 22  офис 210
ПРОСТАЯ ТЕХНИКА,0,,83512789745,, ,,,454084  Челябинск  Набережная улица  дом 9
ГаВань,0,,83517270443,,www.gavan74.ru,,,454084  Челябинск  улица Кирова  дом 62  офис 3
КАРТЕХ торгово-сервисная фирма,0,,83517768011,,,,,454078  Челябинск  улица Гагарина  дом 39  цокольный этаж
ГАСТРОИНОКС торговая фирма,0,,83512445700,, ,,,454048  Челябинск  улица Елькина  дом 112
Успех,0,,83512338899,,profstirka.ru,,,Челябинск  Свердловский проспект  дом 7-а
Авангард,0,,88005559274,,stirka.net,,,Челябинск  проспект Ленина  дом 2-в
УРАРТУ хлебный дом,0,,83517718639,,,,,454136  Челябинск  улица Молодогвардейцев  дом 31  а/2
БУЛКА пекарня,0,https://wa.me/79049713785,,79049713785,,,,454038  Челябинск  шоссе Металлургов  дом 5/1
УРАРТУ хлебный дом,0,,83517718639,,,,,454076  Челябинск  улица Бейвеля  дом 56/2
УРАРТУ хлебный дом,0,,83517718639,,,,,454128  Челябинск  проспект Победы  дом 325
УРАРТУ хлебный дом,0,,83517718639,,,,,454021  Челябинск  Молдавская улица  дом 11/1
УРАРТУ хлебный дом,0,,83517718639,,,,,454138  Челябинск  улица Чайковского  дом 16/2
УРАРТУ хлебный дом,0,,83517718639,,,,,454111  Челябинск  улица Разина  дом 9
УРАРТУ хлебный дом,0,,83517718639,,,,,454021  Челябинск  Комсомольский проспект  дом 103/2
УРАРТУ хлебный дом,0,,83517718639,,,,,454014  Челябинск  Солнечная улица  дом 28/1
БАБУШКА ПРИЕХАЛА пекарня,0,https://wa.me/79227270888,,79227270888, ,http://vk.com/babushka_priehala,,454008  Челябинск  Свердловский проспект  дом 26
УРАРТУ хлебный дом,0,,83517718639,,,,,454015  Челябинск  Шагольская улица  дом 39/3
ПЕЧКА кафе-пекарня,0,https://wa.me/79000974764,,79000974764, ,,,454081  Челябинск  проспект Победы  дом 115
ПЕЧКА кафе-пекарня,0,https://wa.me/79000975783,,79000975783, ,,,454017  Челябинск  улица Богдана Хмельницкого  дом 14
УРАРТУ хлебный дом,0,,83517718639,,,,,454136  Челябинск  улица Ворошилова  дом 59/1
БАБУШКА ПРИЕХАЛА пекарня,0,https://wa.me/79227270888,,79227270888, ,http://vk.com/babushka_priehala,,454008  Челябинск  Свердловский проспект  дом 30-б
ПЕКАРНЯ,0,https://wa.me/79517778740,,79517778740,,,,454008  Челябинск  Свердловский тракт  дом 5  корпус 3
ВАНИЛЬКА пекарня,0,https://wa.me/79049712439,,79049712439,,,,454071  Челябинск  улица Бажова  дом 117
СИНЬОР АНТОНИО ПЕТТИ магазин для кондитеров и пекарей,0,https://wa.me/79227410620,,79227410620, ,,,454091  Челябинск  проспект Ленина  дом 29  1 этаж
МАРГО ТПК,0,,83512698513,,tpkmargo.ru,,,454053  Челябинск  Троицкий тракт  дом 9  офис 21  25
АРИКОН,0,,83512530869,, ,,,454012  Челябинск  Копейское шоссе  дом 23
ЛЕЙПУРИЕН ТУККУ,0,,83512822010,, ,,,454007  Челябинск  Малогрузовая улица  дом 1  офис 509
СОЮЗПИЩЕПРОМ ОБЪЕДИНЕНИЕ КХП ИМ.ГРИГОРОВИЧА,0,,83512822010,,,,,
МАКФА,0,,83512559695,,www.makfa.ru,,,456513  Челябинская область  Сосновский район  поселок Рощино
ПАРУС-2,0,,83517210396,,www.granto.ru,,,454036  Челябинск  улица Матросова  дом 1
ЗЛАК-ИНВЕСТ,0,,83516632171,,,,,457000  Челябинская область  Увельский район  поселок Увельский  Элеваторная улица  дом 5
"УВЕЛКА ПРОДОВОЛЬСТВЕННАЯ КОМПАНИЯ ""РЕСУРС""",0,,83516694700,,www.grechka.ru,http://vk.com/andrewbaker74,,457000  Челябинская область  Увельский район  поселок Увельский  Железнодорожная улица  дом 59
МАКФА,0,,83512470808,,www.makfa.ru,,,454090  Челябинск  Мелькомбинат 2
ХЛЕБПРОМ,0,,83517418314,,www.hlebprom.ru,http://vk.com/andrewbaker74,,454014  Челябинск  улица Молодогвардейцев  дом 2-а
ЗДОРОВЫЙ ХЛЕБ,0,,83517421421,,,,,454138  Челябинск  улица Красного Урала  дом 8
ПЕКАРНЯ,0,https://wa.me/79191190110,,79191190110, ,,,454004  Челябинск  улица Академика Сахарова  дом 11
ANDREW BAKER кондитерская-пекарня,0,,83512836010,,vk.com/andrewbaker74,http://vk.com/andrewbaker74,,456518  Челябинск  улица Бейвеля  дом 3  1 этаж
КУЛИНАРНЫЙ ДОМ пекарня,0,https://wa.me/79068905460,,79068905460, ,,,454106  Челябинск  Неглинная улица  дом 21
ЭВЕРЕСТ кондитерская компания,0,,83512151719,,,,,454080  Челябинск  улица Клары Цеткин  дом 11  1 этаж
БУЛОЧНАЯ магазин,0,,83517401654,,,,,454138  Челябинск  улица Красного Урала  дом 12  1 этаж
ПЕКАРНЯ,0,https://wa.me/79191190110,,79191190110, ,,,454021  Челябинск  Комсомольский проспект  дом 108  ТЦ Юлия
ЧЕСТНЫЙ ПЕКАРЬ магазин-пекарня,0,,83512155531,,www.eda174.ru,,,454091  Челябинск  улица Кирова  дом 104
ПЕКАРНЯ,0,https://wa.me/79191190110,,79191190110, ,,,454128  Челябинск  проспект Победы  дом 325  ТК Прииск
ПЕКАРНЯ,0,,83517777371,,,,,454031  Челябинск  Молодёжная улица  дом 18-а
АЛГОРИТМ,0,,83512477082,,www.algoritm-holoda.ru,,,454007  Челябинск  улица 40 лет Октября  дом 29-а
ЧЕЛЯБИНСКИЙ ЗАВОД АВТОМОБИЛЬНЫХ НАДСТРОЕК,0,,83512531533,, ,,,454119  Челябинск  Копейское шоссе  дом 27-ж
АЛГОР 74,0,,83512676342,, ,http://vk.com/artstek,,454053  Челябинск  Троицкий тракт  дом 9
ТЕХПРОГРЕСС,0,,83512337535,,www.tehprogress.pro,,,454047  Челябинск  2-я Павелецкая улица  дом 18  офис 320
МОРЕНА,0,,83512371709,,www.morena.ru,,,454091  Челябинск  улица Орджоникидзе  дом 54-а
ЮНИТЕК,0,,83512657482,, ,,,454091  Челябинск  проспект Ленина  дом 21-б  офис 100
АЛЬФА ТРАНС,0,,83517751334,,,,,454007  Челябинск  улица 40 лет Октября  дом 20
ЮжУралТрансХолод,0,https://wa.me/79227020700,,79227020700, ,,,454901  Челябинск  Фёдоровка  Асфальтная станция  дом 5
Мастер-БТ,0,,83512310307,, ,,,454010  Челябинск
ХОЛОД ТРЕЙД торговая компания,0,,83512644900,, ,,,454006  Челябинск  улица Лобкова  дом 2  1 этаж
Фридж74,0,https://wa.me/79049785134,,79049785134,fridge74.ru,,,Челябинск  Партизанская улица  дом 12
Союз-Мастеров,0,,83512020363,,,,,Челябинск  проспект Ленина  дом 71
Алиби,0,,83512236545,,,,,Челябинск  улица 40 лет Октября  дом 22
Сибирский Холод,0,,88005004063,,tk-sibirholod.ru,,,Челябинск  Свердловский проспект  дом 84-б
СОЮЗХОЛОДУРАЛ,0,,88007002302,,shural.ru,,,454007  Челябинск  проспект Ленина  дом 26-а
АРТАНТА,0,,83512149508,, ,,,454007  Челябинск  проспект Ленина  дом 2  к1
БЕРК производственная компания,0,,83519452118,,berk5.com,,,456671  Челябинская область  Красноармейский район  поселок Петровский  переулок Строителей  дом 2  а
БЕЛЫЙ МЕДВЕДЬ компания,0,https://wa.me/79026063017,,79026063017,,,,454081  Челябинск  Механическая улица  дом 101
АЛГОРИТМ,0,,83512477082,,www.algoritm-holoda.ru,,,454007  Челябинск  улица 40 лет Октября  дом 29-а
АЛГОР 74,0,,83512676342,, ,http://vk.com/artstek,,454053  Челябинск  Троицкий тракт  дом 9
ЮНИТЕК-УРАЛ,0,,83517418639,, ,,,454136  Челябинск  улица Молодогвардейцев  дом 56
МОРЕНА,0,,83512371709,,www.morena.ru,,,454091  Челябинск  улица Орджоникидзе  дом 54-а
БИЗНЕС-ХОЛОД СК,0,,83512163032,,www.skbiznesholod.ru,,,454081  Челябинск  улица Героев Танкограда  дом 61-п
АНТАРКТИДА,0,,83517749222,,,,,454074  Челябинск  улица Бажова  дом 40
УРАЛТЕХНОХИМ ТПК,0,,83517273540,,www.uth74.ru,,,454106  Челябинск  Двинская улица  дом 23
АГОРА,0,,83517373102,,,,,454106  Челябинск  Северо-Крымская улица  дом 18-а
ЮНИТЕК,0,,83512657482,, ,,,454091  Челябинск  проспект Ленина  дом 21-б  офис 100
ЛОГОТЕК,0,,83512304141,,логотек.рф,,,454084  Челябинск  Кожзаводская улица  дом 4  офис 32
ХОЛОД-PLUS группа компаний,0,,83512619981,,holodplus74.ru,,,454091  Челябинск  улица Елькина  дом 63-в  склад № 30
БИРЮСА техно-торговый центр,0,,83512371738,, ,,,454091  Челябинск  улица Свободы  дом 155
ХОЛТИС,0,,83517723565,,holtis74.ru,,,454074  Челябинск  Сормовская улица  дом 32
АССОРТИ-Ф,0,,83517720893,, ,,,454074  Челябинск  Сормовская улица  дом 15
АКМАШ-ХОЛДИНГ филиал в г. Челябинске,0,,83512623410,, ,,,454053  Челябинск  Троицкий тракт  дом 21  офис 414
МАГАЗИН ЧАЯ И КОФЕ ИП Дубовский М.В.,0,https://wa.me/79028633735,,79028633735, ,,,454091  Челябинск  площадь Мопра  дом 8
ЧАЙНЫЙ КАРАВАН салон-магазин,0,https://wa.me/79514746200,,79514746200,,,,454046  Челябинск  Новороссийская улица  дом 118-в
МАГАЗИН ЧАЯ И КОФЕ ИП Дубовский М.В.,0,https://wa.me/79028633735,,79028633735, ,,,454128  Челябинск  проспект Победы  дом 325
ЦЕЙЛОН магазин чая и кофе,0,https://wa.me/79000972110,,79000972110, ,,,454048  Челябинск  Черкасская улица  дом 15
КОФЕ ДЛЯ БИЗНЕСА GREEN & BEAN магазин,0,,83517259015,,gbcoffee.ru,http://vk.com/greenbean74,,454007  Челябинск  проспект Ленина  дом 2
COFFEE IN автомат по приготовлению кофе,0,,83512149202,,,,,454080  Челябинск  улица Энтузиастов  дом 23
VERTICAL COFFEE COMPANY,0,,83512488815,, ,http://vk.com/verticalcoffee,,454138  Челябинск  Комсомольский проспект  дом 30-в
БИОФЕРМА,0,,83512331919,,www.bioferma74.ru,,,454085  Челябинск  улица Марченко  дом 24
БИОФЕРМА,0,,83512331919,,www.bioferma74.ru,,,454007  Челябинск  улица Горького  дом 1
БИОФЕРМА,0,,83512331919,,www.bioferma74.ru,,,454010  Челябинск  улица Коммунаров  дом 2
БИОФЕРМА,0,,83512331919,,www.bioferma74.ru,,,454091  Челябинск  улица Свободы  дом 88
БИОФЕРМА,0,,83512331919,,www.bioferma74.ru,,,454048  Челябинск  улица Доватора  дом 23/6
SELF COFFEE,0,https://wa.me/79043032531,,79043032531,,,,454021  Челябинск  проспект Победы  дом 295
ТЕАМАТИКА магазин чая,0,https://wa.me/79966927533,,79966927533,tea-store-3223.business.site,,,454084  Челябинск  улица Кирова  дом 74
НИКА кафе,0,https://wa.me/79000680428,,79000680428,kafe-nika.clients.site,,,454084  Челябинск  улица Кирова  дом 23-а/1
VERTICAL COFFEE COMPANY,0,https://wa.me/79222689996,,79222689996,www.verticalcoffee.ru,,,454080  Челябинск  улица Труда  дом 203
LIFEHACKER COFFEE автомат по продаже кофе с собой,0,https://wa.me/79227047676,,79227047676,,,,454111  Челябинск  улица Разина  дом 9
ZИГZАГ магазин швейной техники,0,,88002008786,,chel.zigzagshvey.ru,,,454008  Челябинск  Свердловский проспект  дом 28
ТЕКСТИЛЬНЫЕ МАШИНЫ СИРЕНКО,0,https://wa.me/79128967999,,79128967999,tmsirenko.ru,,,454007  Челябинск  улица Рождественского  дом 13
KNITISM.RU,0,,83512147007,,chel.knitism.ru,,,454136  Челябинск  улица Молодогвардейцев  дом 64
ВЕЛЛТЕКС,0,,83512170207,,www.welltex.ru,,,454053  Челябинск  Троицкий тракт  дом 9
LAPKI74 магазин,0,https://wa.me/79514713383,,79514713383,vk.com/lapki74,http://vk.com/lapki74,,454016  Челябинск  улица Братьев Кашириных  дом 105-а  1 этаж
СТАЛЬСПЕЦСТРОЙ торговая фирма,0,,83512482994,,,http://vk.com/lapki74,,454028  Челябинск  АМЗ  Трактовая улица  дом 26-в
Выкройка на дом,0,,83512003706,, ,http://vk.com/lapki74,,Челябинск  Свердловский проспект  дом 35-а
КОМПАНИЯ ПО ПРОДАЖЕ ШВЕЙНЫХ МАШИН,0,,83517401077,,,http://vk.com/lapki74,,454136  Челябинск  улица Молодогвардейцев  дом 62  1 этаж
Рукава высокого давления,0,,83512201617,,,,,Челябинск  Троицкий тракт  дом 20-б
Сервис РВД,0,,83512231523,, ,,,454006  Челябинск  Свердловский тракт  дом 7-б
Резина 174,0,,83512488196,,,,,Челябинск  Автодорожная улица  дом 1
Мосгидротрейд,0,,83512161667,,mosgidrotrade.ru,,,Челябинск  Свердловский тракт  дом 5
ПРИБОРКОМПЛЕКТ торговая компания,0,,83512485053,,www.priborkom.ru,,,454106  Челябинск  улица Островского  дом 30  308 офис  3 этаж  правое крыло
ФЕДЕРАЛЬНЫЙ ЭКОЛОГИЧЕСКИЙ ОПЕРАТОР Челябинское отделение,0,,83512375978,, ,http://vk.com/fgupfeo,,454091  Челябинск  Российская улица  дом 299
УРАЛЦВЕТМЕТГАЗООЧИСТКА,0,,83517911574,, ,,,454008  Челябинск  Автодорожная улица  дом 15
ЧЕЛЯБИНСКАГРОПРОМ НОПТ,0,,83512655500,,noptc.narod2.ru,,,454080  Челябинск  проспект Ленина  дом 77
АЛБОКОС,0,,83517214572,,www.albokos.ru,,,454008  Челябинск  Свердловский тракт  дом 24-а
ПРИБОР ремонтная фирма,0,,83512322301,,pribor74.ru,,,454080  Челябинск  улица Энтузиастов  дом 13-а  1 этаж
СИМЕНС представительство в г. Челябинске,0,https://wa.me/79068628209,,79068628209, ,,,454091  Челябинск  улица Труда  дом 82-а  310 офис  3 этаж  БД Павловский
УРАЛЬСКАЯ КОМПЛЕКСНАЯ ЛАБОРАТОРИЯ ПРОМЫШЛЕННОГО И ГРАЖДАНСКОГО СТРОИТЕЛЬСТВА,0,,83517359609,, ,,,454047  Челябинск  2-я Павелецкая улица  дом 18  118 офис
КОНТУР компания,0,https://wa.me/79191231207,,79191231207, ,,,454016  Челябинск  улица Братьев Кашириных  дом 97  475 офис
АЛЬФА-ТЕСТ,0,,83517230636,, ,,,454008  Челябинск  Свердловский проспект  дом 2  210  211 офис  2 этаж
СОЮЗ ПРИБОР торговая фирма,0,,83512254339,,szpribor.pulscen.ru,,,454106  Челябинск  Комсомольский проспект  дом 19-а  2 офис  10 помещение
ЧЕЛСПЕЦМАШ компания,0,,83517500258,,chelspecmash.ru,,,454087  Челябинск  Троицкая улица  дом 1-в  413 офис  4 этаж
