Наименование,ИНН,WhatsApp,Телефон (офис),Телефон (мобильный),Сайт,VK,Email,Адрес
"СМС-ЦЕНТР, сервис СМС-рассылок",000000000,,88007007672,, ,,,196084  Санкт-Петербург  Новорощинская улица  дом 4  716 офис  7 этаж  БЦ Собрание
МЕБЕЛЬ В САНКТ-ПЕТЕРБУРГЕ,000000000,,88129969243,,www.mebel.spb.ru,,,"194100  Санкт-Петербург  Новолитовская улица  дом 15-в  МЦ ""Аквилон"""
ЗАГОРОДНЫЙ ДОМ,000000000,,88125724855,, ,,,191119  Санкт-Петербург  улица Черняховского  дом 32
БОЛЬШОЙ КАТАЛОГ НЕДВИЖИМОСТИ,000000000,,88123133955,, ,,,197022  Санкт-Петербург  П.С.  Большой проспект  дом 83
"Издательство ""Четыре""",000000000,https://wa.me/79052251900,,79052251900,4-books.ru,https://vk.com/chetyre_books,,196650  Санкт-Петербург  Колпино  Пролетарская улица  дом 36
WELCOME,000000000,,88127401529,,www.welcomespb.ru,,,191015  Санкт-Петербург  9-я Советская улица  дом 4  офис 225
ФАЙНСТРИТ,000000000,,88127142625,, ,,,190121  Санкт-Петербург  Садовая улица  дом 122
ФАРМИНДЕКС,000000000,,88123270512,, ,,,199106  Санкт-Петербург  Гаванская улица  дом 18  помещение 15-н
БХВ-ПЕТЕРБУРГ,000000000,,88127171050,, ,,,191036  Санкт-Петербург  Гончарная улица  дом 20
СКИФИЯ,000000000,,88125752566,, ,,,190105  Санкт-Петербург  9-я Красноармейская улица  дом 3/7
АВТОРСКОЕ СОДРУЖЕСТВО,000000000,,88129475853,,yorshsatir.ru,,,199155  Санкт-Петербург  улица Кораблестроителей  дом 42  корпус 1
"СКРИЖАЛЬ, православное издательство",000000000,https://wa.me/79992097128,,79992097128, ,http://vk.com/skrijal_spb,,190020  Санкт-Петербург  Нарвский проспект  дом 13-б
ВЕСТНИК ОБЩЕСТВЕННОГО КОНТРОЛЯ,000000000,https://wa.me/79217659775,,79217659775,vestnik-ok.ru,,,197374  Санкт-Петербург  Приморский проспект  дом 151
"ВЫБОРГ, онлайн газета",000000000,https://wa.me/79500441096,,79500441096, ,http://vk.com/gazeta.vyborg,,188800  Ленинградская область  Выборг  улица Мира  дом 9
TOPCLIMAT.RU,000000000,,88126771235,,www.topclimat.ru,,,194223  Санкт-Петербург  улица Курчатова  дом 10
НОВАЯ СТРОКА,000000000,https://wa.me/79110237112,,79110237112,newsrussia.today,,,195256  Санкт-Петербург  проспект Науки  дом 65
"ПЕРВАЯ ЛИНИЯ, телекоммуникационная компания",000000000,,84993030001,,1lteam.ru,,,199004  Санкт-Петербург  3-я линия  дом 62
МАКРО-ГРУПП,000000000,,88126424212,, ,http://vk.com/club77905631,,"196084  Санкт-Петербург  Новорощинская улица  дом 4  БЦ ""Собрание"""
OSI TECH,000000000,,88126112507,,osi-tech.ru,,,198188  Санкт-Петербург  улица Зайцева  дом 41-а  офис 227
Нэт Бай Нэт Холдинг,000000000,,88126112507,,,,,
ЦИФРОВЫЕ ТЕХНОЛОГИИ,000000000,,88124263628,, ,,,197342  Санкт-Петербург  Выборгская набережная  дом 61-а
ИНФОТЕЛЛ,000000000,,88123352020,, ,,,"196084  Санкт-Петербург  Киевская улица  дом 5  БЦ ""Энерго""  офис 701"
"ТЕЛЕПЛАСТ, центр коммуникативных технологий",000000000,,88123837940,, ,,,"198188  Санкт-Петербург  улица Возрождения  дом 20-а  БЦ ""Возрождение"""
"RGB, копировальный центр",000000000,https://wa.me/79119261736,,79119261736, ,https://vk.com/privet_rgb,,197022  Санкт-Петербург  Каменноостровский проспект  дом 27
ЗАПРАВКА,000000000,,,,zapravka-kartridzhej-spb.ru,,7152550@mail.ru,198216  Санкт-Петербург  бульвар Новаторов  дом 17
САН СПб,000000000,,88126448850,,www.suncopy.ru,,,197198  Санкт-Петербург  П.С.  Малый проспект  дом 36-38
"ТОР, копировальная техника",000000000,,88127778888,, ,,,197046  Санкт-Петербург  Мичуринская улица  дом 14/3
"XEROX, офис",000000000,,88123252944,, ,,,"197342  Санкт-Петербург  Выборгская набережная  дом 61  БЦ ""Акватория""  офис 204"
YAGOORU,000000000,,88126008074,,yagooru.com,https://vk.com/yagoorumarketing,,195067  Санкт-Петербург  улица Маршала Тухачевского  дом 31
ПРОФИ Мерчандайзинг,000000000,,88124077775,, ,https://vk.com/profimerch,,197101  Санкт-Петербург  Кронверкская улица  дом 5  БЦ «LUMIEREHOUSE»  офис 502
"LEVEL UP, рекламное агентство",000000000,https://wa.me/79618028181,,79618028181, ,,,191119  Санкт-Петербург  Звенигородская улица  дом 9/11  4 этаж
БИЗНЕС ЛАЙК,000000000,,88129253601,,bl-promo.ru,,,199004  Санкт-Петербург  1-я линия  дом 60
BTL,000000000,,88129654065,,origines.ru,,,196084  Санкт-Петербург  Заставская улица  дом 14-АН
АРОМАТИК,000000000,,88002220852,,www.aromatik.ru,https://www.vk.com/aromatikru,,190068  Санкт-Петербург  набережная Крюкова канала  дом 19  помещение 8Н
BALANCE MARKETING EXPERT,000000000,https://wa.me/79112452045,,79112452045,balancemarketing.expert,,,197101  Санкт-Петербург  улица Рентгена  дом 9
Акварель,000000000,,88126290347,, ,,,197374  Санкт-Петербург  Мебельная улица  дом 49/92
СПЕКТА ИНТЕРПАК,000000000,,88123348358,,specta.com,https://vk.com/specta_interpak,,196105  Санкт-Петербург  Витебский проспект  дом 11  строение Я  офис 14
Фирма ТМК,000000000,,88127407173,,www.tmkmark.ru,https://vk.com/firmatmk,,195213  Санкт-Петербург  Новочеркасский проспект  дом 58
АЛЬФА-РИББОН,000000000,,88126409049,, ,,,192076  Санкт-Петербург  Рыбацкий проспект  дом 18  корпус 2  литера А
"УНИВЕРСАЛ СЕРВИС, торговая компания",000000000,https://wa.me/79213840592,,79213840592, ,https://vk.com/universalserviceru,,197349  Санкт-Петербург  улица Репищева  дом 14-Ш  помещение 2С в 2-Н
КС МАРК,000000000,,88129875949,,www.ksmark.ru,,,198215  Санкт-Петербург  проспект Ветеранов  дом 84
"ПОИСК, ТПФ",000000000,https://wa.me/79627015887,,79627015887, ,https://vk.com/specta_interpak,,192288  Санкт-Петербург  Грузовой проезд  дом 7
Тандл,000000000,https://wa.me/79218724592,,79218724592, ,,,199106  Санкт-Петербург  Шкиперский проток  дом 14  корпус 8 Литера Д  пом.227  офис 202-7
ТИПОГРАФИЯ,000000000,,,,er-print.ru,,sales@er-print.ru,196105  Санкт-Петербург  Благодатная улица  дом 69
ТИПОГРАФИЯ,000000000,,,, ,,co@spb4068909.ru,192171  Санкт-Петербург  улица Бабушкина  дом 36  корпус 1
ЦИФЕРБЛАТ,000000000,,,,www.ciferblat.spb.ru,,info@ciferblat.spb.ru,194044  Санкт-Петербург  Большой Сампсониевский проспект  дом 60-у
ГОЛДЕН,000000000,,,, ,,gg-print@yandex.ru,195009  Санкт-Петербург  Кондратьевский проспект  дом 2  корпус 2
МАКСИМУС,000000000,,,, ,,info@maximus-spb.ru,198095  Санкт-Петербург  улица Шкапина  дом 32-34  офис 506
ГОЛДЕН,000000000,,,, ,,gg-print@yandex.ru,195009  Санкт-Петербург  Кондратьевский проспект  дом 2  корпус 2
СМЕРФИТ,000000000,,,, ,https://vk.com/smurfitkappa,sales@smurfitkappa.ru,188642  Ленинградская область  Всеволожск  улица Гоголя  дом 7
ПАКБЕРИ,000000000,https://wa.me/79627270866,,79627270866,packberry.ru,,,195220  Санкт-Петербург  Гражданский проспект  дом 22-а  офис 608
MIRAMALO.CLUB,000000000,,88124183487,,miramalo.club,,,190031  Санкт-Петербург  набережная реки Фонтанки  дом 117-а
ТИПОГРАФИЯ,000000000,,88124183487,,er-print.ru,,sales@er-print.ru,196105  Санкт-Петербург  Благодатная улица  дом 69
ТИПОГРАФИЯ,000000000,,88124183487,, ,,co@spb4068909.ru,192171  Санкт-Петербург  улица Бабушкина  дом 36  корпус 1
ЦИФЕРБЛАТ,000000000,,88124183487,,www.ciferblat.spb.ru,,info@ciferblat.spb.ru,194044  Санкт-Петербург  Большой Сампсониевский проспект  дом 60-у
ГОЛДЕН,000000000,,88124183487,, ,,gg-print@yandex.ru,195009  Санкт-Петербург  Кондратьевский проспект  дом 2  корпус 2
Press2Print,000000000,,88123320631,,press2print.ru,https://vk.com/shirokoformatnaya_pechat_spb,,192102  Санкт-Петербург  улица Самойловой  дом 5-н
РЕКЛАМА ЗДЕСЬ,000000000,,88124186421,,reklamazdes.spb.ru,,,197046  Санкт-Петербург  Петроградская набережная  дом 20
Ксей,000000000,,88129285558,,ksey.ru,,,192171  Санкт-Петербург  улица Бабушкина  дом 36  корпус 1
СОФИТ,000000000,,88126004414,, ,http://vk.com/sofitspb,,197101  Санкт-Петербург  Большая Монетная улица  дом 6
"ЭЛИТКАРТ, производственная компания",000000000,https://wa.me/79522427558,,79522427558, ,,,192029  Санкт-Петербург  Большой Смоленский проспект  дом 10
КАРТА ПРЕМИУМ,000000000,,88129044006,,kartapremium.ru,,,194354  Санкт-Петербург  проспект Энгельса  дом 111  корпус 1
YUMICARD,000000000,,88007750641,,yumicard.ru,http://vk.com/yumicard,,198095  Санкт-Петербург  Оборонная улица  дом 10
КВИЛТИС,000000000,,88126771045,, ,,,188663  Ленинградская область  Всеволожский район  Заводская улица  дом 3-а  корпус 2
ПроТехно,000000000,https://wa.me/79213703634,,79213703634, ,https://vk.com/pro_tehno_ru,,196105  Санкт-Петербург  Витебский проспект  дом 11-с  офис 214
ДИЛОР,000000000,,88127028064,, ,,,"194100  Санкт-Петербург  Новолитовская улица  дом 15-а  БЦ ""Аквилон""  офис 522  524"
"Фирма ""Техно-Графика""",000000000,,88126481299,, ,,,198188  Санкт-Петербург  улица Васи Алексеева  дом 21
"Компания ""ЛиС""",000000000,,88129877112,,lis-shop.ru,,,196084  Санкт-Петербург  Заставская улица  дом 3  корпус 3  литера А
Gravcam,000000000,,88129059093,, ,https://vk.com/gravcam,,192019  Санкт-Петербург  Мельничная улица  дом 23  литера В
ТИПОГРАФИЯ,000000000,,88129059093,, ,,co@spb4068909.ru,192171  Санкт-Петербург  улица Бабушкина  дом 36  корпус 1
ТИПОГРАФИЯ,000000000,,88129059093,,er-print.ru,,sales@er-print.ru,196105  Санкт-Петербург  Благодатная улица  дом 69
ЦИФЕРБЛАТ,000000000,,88129059093,,www.ciferblat.spb.ru,,info@ciferblat.spb.ru,194044  Санкт-Петербург  Большой Сампсониевский проспект  дом 60-у
ГОЛДЕН,000000000,,88129059093,, ,,gg-print@yandex.ru,195009  Санкт-Петербург  Кондратьевский проспект  дом 2  корпус 2
АВИА,000000000,,88129059093,, ,,avia-print@ya.ru,196158  Санкт-Петербург  Пулковское шоссе  дом 30  корпус 4  офис 21
МАКСИМУС,000000000,,88129059093,, ,,info@maximus-spb.ru,198095  Санкт-Петербург  улица Шкапина  дом 32-34  офис 506
КОСТА,000000000,,88124451002,, ,,,195213  Санкт-Петербург  Новочеркасский проспект  дом 58  офис 413
"РЭЙ, типография",000000000,https://wa.me/79500086849,,79500086849, ,,,"198095  Санкт-Петербург  набережная Обводного канала  дом 122-б  ст. м. ""Балтийская"""
"БЫСТРЫЙ ЦВЕТ, многопрофильная типография",000000000,,88129604044,,www.fastcolor.ru,https://vk.com/fastcolor,,197376  Санкт-Петербург  набережная реки Карповки  дом 5  корпус 16
"АКЦЕНТ, типография",000000000,,88126705656,, ,,,194044  Санкт-Петербург  Большой Сампсониевский проспект  дом 60-и
АНИМА,000000000,,88129826789,, ,,,190103  Санкт-Петербург  набережная Обводного канала  дом 191  офис 31
САТИСЪ,000000000,https://wa.me/79650580975,,79650580975,satisspb.ru,https://vk.com/satis_spb,,199048  Санкт-Петербург  6-я линия  дом 63
ЭТАЛОН,000000000,,88122411779,,etalon.press,http://vk.com/sprnt78,,198097  Санкт-Петербург  улица Трефолева  дом 2  литера АУ
АКВАРЕЛЬ,000000000,,88124491552,, ,,,191040  Санкт-Петербург  улица Черняховского  дом 65
REDFAB,000000000,,88124256232,,redfab.ru,,,194044  Санкт-Петербург  Гельсингфорсская улица  дом 4  корпус 1  помещение 27-Н
ЕВРОПРИНТ,000000000,,88126330229,,www.europrint.ru,,,197110  Санкт-Петербург  Пионерская улица  дом 44
"НОВОТРЕЙД-СПБ, завод полиграфического оборудования",000000000,,88124016203,, ,,,195009  Санкт-Петербург  улица Комсомола  дом 1-3 АК
"Фирма ""Техно-Графика""",000000000,,88126481299,, ,,,198188  Санкт-Петербург  улица Васи Алексеева  дом 21
Силкограф Рус,000000000,,88002019133,, ,https://vk.com/silkograph,,196240  Санкт-Петербург  7-й Предпортовый проезд  дом 14-е
ТИПОГРАФИЯ,000000000,,88002019133,,er-print.ru,,sales@er-print.ru,196105  Санкт-Петербург  Благодатная улица  дом 69
ТИПОГРАФИЯ,000000000,,88002019133,, ,,co@spb4068909.ru,192171  Санкт-Петербург  улица Бабушкина  дом 36  корпус 1
ЦИФЕРБЛАТ,000000000,,88002019133,,www.ciferblat.spb.ru,,info@ciferblat.spb.ru,194044  Санкт-Петербург  Большой Сампсониевский проспект  дом 60-у
ГОЛДЕН,000000000,,88002019133,, ,,gg-print@yandex.ru,195009  Санкт-Петербург  Кондратьевский проспект  дом 2  корпус 2
LOVE РАДИО,000000000,,88123266448,, ,,,192007  Санкт-Петербург  Воронежская улица  дом 96
АВТОРАДИО 88.4 FM,000000000,,88123218844,, ,http://vk.com/volhovfm,,197376  Санкт-Петербург  улица Академика Павлова  дом 5-в
ЮМОР FM 88.9 МГц,000000000,,88123218844,, ,,,197376  Санкт-Петербург  улица Академика Павлова  дом 5
Радио ENERGY 95.0 FM,000000000,,88123218844,, ,,,197376  Санкт-Петербург  улица Академика Павлова  дом 5-в
TOPFACE MEDIA,000000000,,88126481460,,topfacemedia.com,https://vk.com/topfacemedia,,197101  Санкт-Петербург  улица Мира  дом 5
ТЕНЛАЙВ,000000000,,88129831544,,www.tenlive.ru,,,"195196  Санкт-Петербург  улица Громова  дом 4  БЦ ""Громов"""
"DIRECTVSEM, агентство контекстной рекламы",000000000,,88126499396,,direktvsem.ru,https://vk.com/artaftov,,"197110  Санкт-Петербург  Пионерская улица  дом 30  БЦ ""Пионер"""
Частный маркетолог Ачба Илья,000000000,https://wa.me/79213463943,,79213463943,achba-ilya.com,http://vk.com/webmarketologist,,198152  Санкт-Петербург  Краснопутиловская улица  дом 69-а
Великолепный Маркетинг,000000000,,88129812732,,reklama-site.ru,http://vk.com/prodvigenie_seo,,191002  Санкт-Петербург  улица Рубинштейна  дом 15-17  литера А  помещ 70-н
"ВТОПим, агентство продвижения бизнеса",000000000,,84951452585,, ,http://vk.com/vtopim_digital,,197022  Санкт-Петербург  Аптекарский проспект  дом 6
Wela,000000000,https://wa.me/79493587397,,79493587397,seowela.ru,,,"196158  Санкт-Петербург  Пулковское шоссе  дом 40  корпус 1  БЦ ""Технополис"""
"АртФактор, дизайн-студия",000000000,,88124933936,, ,,,198188  Санкт-Петербург  улица Зайцева  дом 41  офис 319
"УСПЕШНЫЕ ПРОЕКТЫ, рекламное агентство",000000000,,88124585603,,uspeshno.com,,,192007  Санкт-Петербург  набережная Обводного канала  дом 60  410 офис  4 этаж
TRANSIT MEDIA GROUP (TMG),000000000,,88123251545,, ,,,197101  Санкт-Петербург  Каменноостровский проспект  дом 10-б
ДЕЛКОМ,000000000,,88126105568,, ,,,192171  Санкт-Петербург  улица Седова  дом 65-а
"УСПЕШНЫЕ ПРОЕКТЫ, рекламное агентство",000000000,,88124585603,,uspeshno.com,,,192007  Санкт-Петербург  набережная Обводного канала  дом 60  410 офис  4 этаж
Brand Machine,000000000,https://wa.me/79969250708,,79969250708, ,http://vk.com/brandmachine56,,198206  Санкт-Петербург  Петергофское шоссе  дом 51-а
АФИША.МАРКЕТ,000000000,https://wa.me/79117230263,,79117230263,www.афишныестенды.рф,,,Санкт-Петербург
"БРАЙТ, рекламно-производственная компания",000000000,https://wa.me/79643426130,,79643426130, ,,,190020  Санкт-Петербург  набережная Обводного канала  дом 134-136-138
ВИРТУОЗ - РЕКЛАМНЫЕ ТЕХНОЛОГИИ,000000000,,88123256240,, ,,,"198152  Санкт-Петербург  Краснопутиловская улица  дом 69  БЦ ""Цитадель"""
ДИСКОНТ РЕКЛАМА,000000000,,88123097606,, ,http://vk.com/discountadv,,191119  Санкт-Петербург  Роменская улица  дом 10
СОФТСИСТЕМА,000000000,,88126287813,, ,,,195030  Санкт-Петербург  улица Химиков  дом 26
АТЕЛЬЕ НАРУЖНОЙ РЕКЛАМЫ,000000000,,88129466101,,anr.spb.ru,,,199034  Санкт-Петербург  Биржевая линия  дом 8-10
КОНКОРД,000000000,,88129862020,,concord-spb.ru,,,198099  Санкт-Петербург  улица Калинина  дом 13
Pro NIKA,000000000,,88126122706,, ,,,197348  Санкт-Петербург  Богатырский проспект  дом 18
GLARE-ART,000000000,https://wa.me/79650334330,,79650334330,vk.com/glareart,http://vk.com/glareart,,190020  Санкт-Петербург  Старо-Петергофский проспект  дом 24  корпус 104
"FLAMINGO, производство рекламных конструкций",000000000,,88129650706,,flamingo-spb.ru,http://vk.com/glareart,,197046  Санкт-Петербург  улица Куйбышева  дом 14
РЕК178,000000000,,88129058211,, ,,,188230  Ленинградская область  Всеволожский район  поселок Колтуши  улица Мелиораторов  дом 2-г
"ДОХОДНЫЕ МАТЕРИАЛЫ, торговая компания",000000000,,88123091470,, ,http://vk.com/rdmkit,,192029  Санкт-Петербург  улица Бабушкина  дом 21
"АЛЮПС, торгово-производственная компания",000000000,,88123098929,,alups.ru,,,197349  Санкт-Петербург  Вербная улица  дом 1-Б  87 офис  1 этаж
АБС Текстиль,000000000,https://wa.me/79958921213,,79958921213, ,http://vk.com/abs_textile,,195112  Санкт-Петербург  площадь Карла Фаберже  дом 8
FOAMPLASTIC,000000000,https://wa.me/79117036525,,79117036525,www.foamplastic.ru,,,193230  Санкт-Петербург  Октябрьская набережная  дом 50-а
"АРТ СИТИ, рекламно-производственная компания",000000000,https://wa.me/79236305600,,79236305600,art-city.spb.ru,,,199178  Санкт-Петербург  17-я линия  дом 54  корпус 8
С-ФОРТ,000000000,,88129522132,,sfprint.ru,,,199106  Санкт-Петербург  Шкиперский проток  дом 14  корпус 44
"НЕОН, группа компаний",000000000,,88126025050,, ,,,191119  Санкт-Петербург  Днепропетровская улица  дом 31-33  офис 241
MAINSTREAM,000000000,,88129315334,,www.mainstream-spb.ru,,,190013  Санкт-Петербург  Подъездной переулок  дом 18-а
"ВБРЕНДЕ24, корпоративная продукция",000000000,,88124244271,,www.vbrende24.ru,,,188309  Ленинградская область  Гатчина  улица Хохлова  дом 16
РИОС,000000000,,88123327149,,riosspb.ru,,,"197376  Санкт-Петербург  улица Чапыгина  дом 6-п  БЦ ""ТВ-Полис"""
ТИПОГРАФИЯ,000000000,,88123327149,,er-print.ru,,sales@er-print.ru,196105  Санкт-Петербург  Благодатная улица  дом 69
Соломка,000000000,,84951285011,,solomka.biz,,,193079  Санкт-Петербург  улица Новосёлов  дом 8
SMM Boss,000000000,,84951804232,,smm-boss.ru,http://vk.com/smm_vedenie,,191186  Санкт-Петербург  Невский проспект  дом 29-31
ТЕНЛАЙВ,000000000,,88129831544,,www.tenlive.ru,,,"195196  Санкт-Петербург  улица Громова  дом 4  БЦ ""Громов"""
VERSALITY,000000000,,88129815200,,9815200.ru,,,197110  Санкт-Петербург  Малая Разночинная улица  дом 9  офис 509
Wegacy,000000000,https://wa.me/79111643520,,79111643520,wegacy.ru,,,191014  Санкт-Петербург  улица Жуковского  дом 20
AVENUE PROMOTION SPB,000000000,https://wa.me/79030942443,,79030942443,www.a-p.ru,https://vk.com/avenuepromotion,,194044  Санкт-Петербург  Гельсингфорсская улица  дом 3  литера З
ИНО ГРУПП,000000000,,88123340550,,www.inog.ru,,,191025  Санкт-Петербург  Невский проспект  дом 104  БЦ Tempo  4 этаж
МАРТИН,000000000,https://wa.me/79006237454,,79006237454,martin-spb.com,https://vk.com/spb_martin,,192281  Санкт-Петербург  Балканская площадь  дом 5-и  офис 909
"ЛАЙН, маркетинговые решения",000000000,,88126423438,,www.line-mp.ru,https://vk.com/linemp,,195279  Санкт-Петербург  проспект Ударников  дом 33
Alliance Company,000000000,,88122208206,,alliance-company.ru,,,197046  Санкт-Петербург  Петроградская набережная  дом 20
RVS Media,000000000,https://wa.me/79086619314,,79086619314,rvs-media.ru,http://vk.com/rvs.media,,Санкт-Петербург
"VKUSNO, digiatl-агентство",000000000,https://wa.me/79523772680,,79523772680, ,http://vk.com/vkusnoagency,,196233  Санкт-Петербург  проспект Космонавтов  дом 65  корпус 11
МИХАЙЛОВ И ПАРТНЁРЫ,000000000,,88123130956,, ,,,197198  Санкт-Петербург  П.С.  Большой проспект  дом 48-а  офис 305
LIFT MEDIA GROUP,000000000,,88129820023,,liftmg.ru,,,196066  Санкт-Петербург  Московский проспект  дом 212
МАЙГИБС,000000000,https://wa.me/79119222679,,79119222679,mygribs.com,,,197198  Санкт-Петербург  П.С.  Большой проспект  дом 29-а
ТИПОГРАФИЯ,000000000,,,, ,,co@spb4068909.ru,192171  Санкт-Петербург  улица Бабушкина  дом 36  корпус 1
АВИА,000000000,,,, ,,avia-print@ya.ru,196158  Санкт-Петербург  Пулковское шоссе  дом 30  корпус 4  офис 21
ЛОМОПЛАСТ,000000000,,88123241828,, ,,,197374  Санкт-Петербург  улица Оптиков  дом 4
ТРИАРТ,000000000,,88124082726,, ,,,196084  Санкт-Петербург  Смоленская улица  дом 33
АВАЛОН,000000000,,88127166230,, ,,,197110  Санкт-Петербург  Большая Разночинная улица  дом 14  корпус 5  офис 2
BRENDCARAMEL.SPB,000000000,https://wa.me/79818543145,,79818543145,vk.link,http://vk.com/brendcaramelspb,,198320  Санкт-Петербург  Кингисеппское шоссе  дом 10  корпус 1
"""03 РЕКЛАМНОГО БИЗНЕСА, рекламно-производственная компания""",000000000,,88127157703,, ,,,197348  Санкт-Петербург  Аэродромная улица  дом 4
ТИПОГРАФИЯ К,000000000,https://wa.me/79215937788,,79215937788,www.k-typography.ru,https://vk.com/print_k,,191025  Санкт-Петербург  Колокольная улица  дом 7
МОХИТО,000000000,,88123200650,, ,,,197342  Санкт-Петербург  Лисичанская улица  дом 11  офис 2
"HAPPYTIME, интернет-магазин",000000000,https://wa.me/79215557580,,79215557580,happytm.ru,http://vk.com/reklama_178,,191144  Санкт-Петербург  Мытнинская улица  дом 2
"ЛИС, копицентр",000000000,,,,,,,
"АНТЕННЫЙ СУПЕРМАРКЕТ, сеть магазинов",000000000,,,,,,,
ЭЛЕКТРОНИКА - КИРОВСК,000000000,https://wa.me/79111642376,,79111642376,www.36e.ru,,,187340  Ленинградская область  Кировск  Пионерская улица  дом 8
ТРИКОЛОР ТВ,000000000,,88005000123,,tricolor.tv,,,197022  Санкт-Петербург  а/я 170
СПИН,000000000,,88123209805,, ,,,198095  Санкт-Петербург  улица Маршала Говорова  дом 40
ЦИФЕРБЛАТ,000000000,,88123209805,,www.ciferblat.spb.ru,,info@ciferblat.spb.ru,194044  Санкт-Петербург  Большой Сампсониевский проспект  дом 60-у
ТИПОГРАФИЯ,000000000,,88123209805,,er-print.ru,,sales@er-print.ru,196105  Санкт-Петербург  Благодатная улица  дом 69
ТИПОГРАФИЯ,000000000,,88123209805,, ,,co@spb4068909.ru,192171  Санкт-Петербург  улица Бабушкина  дом 36  корпус 1
ГОЛДЕН,000000000,,88123209805,, ,,gg-print@yandex.ru,195009  Санкт-Петербург  Кондратьевский проспект  дом 2  корпус 2
АВИА,000000000,,88123209805,, ,,avia-print@ya.ru,196158  Санкт-Петербург  Пулковское шоссе  дом 30  корпус 4  офис 21
МАКСИМУС,000000000,,88123209805,, ,,info@maximus-spb.ru,198095  Санкт-Петербург  улица Шкапина  дом 32-34  офис 506
"ЛЮБАВИЧ, типография",000000000,,88126032525,, ,,,194044  Санкт-Петербург  Менделеевская улица  дом 9
"АКЦЕНТ, типография",000000000,,88126705656,, ,,,194044  Санкт-Петербург  Большой Сампсониевский проспект  дом 60-и
Ксей,000000000,,88129285558,,ksey.ru,,,192171  Санкт-Петербург  улица Бабушкина  дом 36  корпус 1
Stabilen,000000000,,88129285558,,stabilen.com,https://vk.com/public191535856,stabilen_2@mail.ru,188660  Ленинградская область  Всеволожский район  дорога на Мендсары  дом 16  здание МС-1
СМЕРФИТ,000000000,,88129285558,, ,https://vk.com/smurfitkappa,sales@smurfitkappa.ru,188642  Ленинградская область  Всеволожск  улица Гоголя  дом 7
"АВТО-ТРАНС, интернет-магазин упаковки",000000000,,88007771693,, ,https://vk.com/sp.cargoavto,,197374  Санкт-Петербург  Мебельная улица  дом 2-к
Unidemp,000000000,,88122444278,,unidemp.ru,,,198095  Санкт-Петербург  Химический переулок  дом 1
"ТЕРМОПЛАСТ, АО",000000000,,88127411819,, ,,,198320  Санкт-Петербург  Красное Село  проспект Красных Командиров  дом 66
ПАЛЛЕТРА,000000000,,88127411819,,,,,
АЛЬФА-ПАК,000000000,,88123837038,, ,,,"192012  Санкт-Петербург  проспект Обуховской Обороны  дом 112  корпус 2  литера З  БЦ ""Вант""  офис 815"
АВАНС,000000000,,88127485943,, ,https://vk.com/sp.cargoavto,,192289  Санкт-Петербург  Софийская улица  дом 91-е
ФЛОРАЛПАК,000000000,,88127042777,, ,,,196210  Санкт-Петербург  улица Пилотов  дом 32
ПЧЁЛКИН,000000000,,88122097045,,www.pchelkin.spb.ru,,,197110  Санкт-Петербург  Петровская коса  дом 1  корпус 1  офис 1010
ЛЕГИОН,000000000,,84952280817,, ,,,196626  Санкт-Петербург  Московское шоссе  дом 185
АТЛАНТ ПАЛЕТТ,000000000,https://wa.me/79119210720,,79119210720, ,,,196627  Санкт-Петербург  Московское шоссе  дом 295
ЛентаПолимер Спб,000000000,https://wa.me/79818726568,,79818726568,lenta-p.ru,,,192102  Санкт-Петербург  Бухарестская улица  дом 8
МИР СЧАСТЬЯ,000000000,https://wa.me/79219421131,,79219421131,,,,197341  Санкт-Петербург  Коломяжский проспект  дом 33  корпус 2  литера А
ШАР-АРТ,000000000,https://wa.me/79117583943,,79117583943, ,,,197372  Санкт-Петербург  Комендантский проспект  дом 53  корпус 4
АРТ ПРАЗДНИК СПб,000000000,,88129214700,,art-prazdnik-spb.ru,https://vk.com/artprazdnik_spb,,188645  Ленинградская область  Всеволожск  Центральная улица  дом 4
АлмазБурСервис,000000000,,88126141400,, ,https://vk.com/almazbyrservice_almaznoe_burenie,,192019  Санкт-Петербург  Хрустальная улица  дом 18
"АЛМАЗБУРСТРОЙ, строительно-монтажная компания",000000000,,88124380749,,almazburstroy.ru,,,198097  Санкт-Петербург  улица Трефолева  дом 2-в  офис 4
РЕЗКА-СПб,000000000,,88129386938,,резка-спб.рф,,,194044  Санкт-Петербург  улица Смолячкова  дом 4
АЛМАЗ-СПб,000000000,https://wa.me/79523692294,,79523692294,almaznoe-byrenie.ru,,,"192236  Санкт-Петербург  Софийская улица  дом 14  БЦ ""Ленинец"""
РезАрт,000000000,,88005002730,,www.rez-art.ru,,,197183  Санкт-Петербург  Полевая Сабировская улица  дом 1/11  помещение 4-н
ГАЛС,000000000,https://wa.me/79213067895,,79213067895,ckgals.ru,,,194356  Санкт-Петербург  проспект Энгельса  дом 139
"ВЕРШИНА, центр высотных работ",000000000,https://wa.me/79219031428,,79219031428, ,,,198095  Санкт-Петербург  улица Шкапина  дом 4  офис 509
АЛЬППРОМ,000000000,,88126427121,,alpprom-spb.ru,,,192148  Санкт-Петербург  улица Седова  дом 37
НА ВЫСОТЕ,000000000,https://wa.me/79214428872,,79214428872,navysote.pro,,,192236  Санкт-Петербург  Софийская улица  дом 57
